Name, Sprache, Gesinnung, Geprueft durch

Netrox_PsX, deutsch, griefer,  @467898
Innochi, deutsch, griefer,  @467898
Kammerjaeger-T, deutsch, griefer,  @467898
Schremmel, deutsch, griefer,  @467898
Rose4rrri, deutsch, griefer,  @467898
kuestenzwerg_de1, deutsch, griefer,  @467898

jumpopo-, deutsch, griefer,  @467898
LADY_A-T-H-E-N-A, deutsch, griefer,  @467898
pinker420warrior, deutsch, griefer,  @467898
x_bigboss_de, deutsch, griefer,  @467898
LIZHIRSCHI, deutsch, griefer,  @467898
Sassi1887, deutsch, griefer,  @467898

XSOLUT, unklar, unklar, 0
KAMU--X, unklar, unklar, 0
